customer_id,prob,default
100000,0.9019375030613974,1
100001,0.08371974648238688,0
100002,0.01032310844582093,0
100003,0.013630570914639083,0
100004,0.9064022160536149,1
100005,0.13564160603011344,0
100006,0.2823684024364685,0
100007,0.8703658104792844,1
100008,0.03006939051038937,0
100009,0.307652774766123,0
100010,0.27748661142099096,0
100011,0.14353659407565963,0
100012,0.9832024756584755,1
100013,0.666042069075142,0
100014,0.9704465879099969,1
100015,0.981614675075093,1
100016,0.656215493082776,0
100017,0.8983588810163032,1
100018,0.29666218927642624,0
100019,0.8780901232088935,1
100020,0.0818502411539496,0
100021,0.8413645941374024,1
100022,0.03637728694714431,0
100023,0.6878642906779547,0
100024,0.05501605977330199,0
100025,0.06541954480160729,0
100026,0.8516334302496974,1
100027,0.8807008896947258,1
100028,0.3772600064382661,0
100029,0.051821491048929344,0
100030,0.09017062064375653,0
100031,0.13493467970646564,0
100032,0.9609074732046335,1
100033,0.16844412653833324,0
100034,0.27300321490428064,0
100035,0.9805819424577346,1
100036,0.29351898703639573,0
100037,0.4493231540415555,0
100038,0.9857414012751667,1
100039,0.8746054560486894,1
100040,0.8817002261136787,1
100041,0.03589477109314087,0
100042,0.09561247188602943,0
100043,0.21676786966719605,0
100044,0.9087284378019587,1
100045,0.9658745177904752,1
100046,0.724088962865999,1
100047,0.6265193327164945,0
100048,0.37496712799177945,0
100049,0.844891813047052,1
100050,0.21416057636807437,0
100051,0.7196938415800124,0
100052,0.34526955688767147,0
100053,0.05463117621039606,0
100054,0.6830485866957614,0
100055,0.18114979270376952,0
100056,0.8496911628858653,1
100057,0.8740274268728737,1
100058,0.9931035261167832,1
100059,0.27660697748044194,0
100060,0.06997030799892684,0
100061,0.24749740452233113,0
100062,0.5896546851516262,0
100063,0.06374034011795648,0
100064,0.32652436555425535,0
100065,0.7924825402023493,1
100066,0.4176168234042851,0
100067,0.05634079283112461,0
100068,0.24404642458353912,0
100069,0.057566969754222,0
100070,0.16071923856072357,0
100071,0.030494089840956213,0
100072,0.8845378868513711,1
100073,0.9777128153763871,1
100074,0.8061040161245716,1
100075,0.11585398210871461,0
100076,0.0378742530625673,0
100077,0.9738754236282507,1
100078,0.9408186859802935,1
100079,0.3260793789344648,0
100080,0.5322892281696233,0
100081,0.1102548176032249,0
100082,0.9710502283915748,1
100083,0.06864026519239873,0
100084,0.9128574030327175,1
100085,0.13520691714667132,0
